"","Plot","Height1"
"1","ST18:1101",204
"2","ST18:1102",198
"3","ST18:1103",224
"4","ST18:1104",213
"5","ST18:1105",190
"6","ST18:1106",184
"7","ST18:1107",180
"8","ST18:1108",201
"9","ST18:1109",169
"10","ST18:1110",167
"11","ST18:1111",176
"12","ST18:1112",226
"13","ST18:1113",224
"14","ST18:1114",236
"15","ST18:1115",225
"16","ST18:1116",222
"17","ST18:1117",197
"18","ST18:1118",214
"19","ST18:1119",220
"20","ST18:1120",200
"21","ST18:1121",200
"22","ST18:1122",212
"23","ST18:1123",203
"24","ST18:1124",192
"25","ST18:1125",211
"26","ST18:1126",192
"27","ST18:1127",219
"28","ST18:1128",206
"29","ST18:1129",193
"30","ST18:1130",199
"31","ST18:1131",173
"32","ST18:1132",178
"33","ST18:1133",186
"34","ST18:1134",225
"35","ST18:1135",217
"36","ST18:1136",213
"37","ST18:1201",202
"38","ST18:1202",191
"39","ST18:1203",170
"40","ST18:1204",190
"41","ST18:1205",223
"42","ST18:1206",170
"43","ST18:1207",214
"44","ST18:1208",229
"45","ST18:1209",221
"46","ST18:1210",221
"47","ST18:1211",202
"48","ST18:1212",197
"49","ST18:1213",216
"50","ST18:1214",200
"51","ST18:1215",223
"52","ST18:1216",235
"53","ST18:1217",167
"54","ST18:1218",189
"55","ST18:1219",213
"56","ST18:1220",203
"57","ST18:1221",182
"58","ST18:1222",229
"59","ST18:1223",192
"60","ST18:1224",231
"61","ST18:1225",197
"62","ST18:1226",195
"63","ST18:1227",214
"64","ST18:1228",207
"65","ST18:1229",195
"66","ST18:1230",187
"67","ST18:1231",199
"68","ST18:1232",191
"69","ST18:1233",190
"70","ST18:1234",234
"71","ST18:1235",216
"72","ST18:1236",194
"73","ST18:2101",180
"74","ST18:2102",191
"75","ST18:2103",192
"76","ST18:2104",169
"77","ST18:2105",188
"78","ST18:2106",164
"79","ST18:2107",169
"80","ST18:2108",159
"81","ST18:2109",186
"82","ST18:2110",195
"83","ST18:2111",190
"84","ST18:2112",191
"85","ST18:2113",184
"86","ST18:2114",161
"87","ST18:2115",192
"88","ST18:2116",190
"89","ST18:2117",191
"90","ST18:2118",183
"91","ST18:2119",165
"92","ST18:2120",184
"93","ST18:2121",186
"94","ST18:2122",189
"95","ST18:2123",167
"96","ST18:2124",190
"97","ST18:2125",185
"98","ST18:2126",175
"99","ST18:2127",180
"100","ST18:2128",173
"101","ST18:2129",182
"102","ST18:2130",173
"103","ST18:2131",181
"104","ST18:2132",183
"105","ST18:2133",176
"106","ST18:2134",183
"107","ST18:2135",194
"108","ST18:2136",184
"109","ST18:2201",198
"110","ST18:2202",200
"111","ST18:2203",201
"112","ST18:2204",199
"113","ST18:2205",193
"114","ST18:2206",183
"115","ST18:2207",194
"116","ST18:2208",185
"117","ST18:2209",181
"118","ST18:2210",192
"119","ST18:2211",193
"120","ST18:2212",178
"121","ST18:2213",180
"122","ST18:2214",163
"123","ST18:2215",168
"124","ST18:2216",184
"125","ST18:2217",162
"126","ST18:2218",183
"127","ST18:2219",167
"128","ST18:2220",177
"129","ST18:2221",181
"130","ST18:2222",162
"131","ST18:2223",181
"132","ST18:2224",177
"133","ST18:2225",170
"134","ST18:2226",189
"135","ST18:2227",182
"136","ST18:2228",166
"137","ST18:2229",174
"138","ST18:2230",172
"139","ST18:2231",173
"140","ST18:2232",187
"141","ST18:2233",184
"142","ST18:2234",186
"143","ST18:2235",178
"144","ST18:2236",187
