Fields,BoundingBox,X,Y,id,left,top,right,bottom
1,"[-93.1734023929412,44.9940863088966;-93.1733273929412,44.9940933088966]","[-93.1734023929412,-93.1733273929412,-93.1733273929412,-93.1734023929412,-93.1734023929412,NaN]","[44.9940933088966,44.9940933088966,44.9940863088966,44.9940863088966,44.9940933088966,NaN]",1,-93.17339804,44.99409882,44.99409882,44.99409182
2,"[-93.1734024719666,44.9940793186183;-93.1733274719666,44.9940863186183]","[-93.1734024719666,-93.1733274719666,-93.1733274719666,-93.1734024719666,-93.1734024719666,NaN]","[44.9940863186183,44.9940863186183,44.9940793186183,44.9940793186183,44.9940863186183,NaN]",2,-93.17339804,44.99409182,44.99409182,44.99408482
3,"[-93.1733955255678,44.9940723840132;-93.1733205255678,44.9940793840132]","[-93.1733955255678,-93.1733205255678,-93.1733205255678,-93.1733955255678,-93.1733955255678,NaN]","[44.9940793840132,44.9940793840132,44.9940723840132,44.9940723840132,44.9940793840132,NaN]",3,-93.17339804,44.99408482,44.99408482,44.99407782
4,"[-93.1733955364153,44.9940653837460;-93.1733205364153,44.9940723837460]","[-93.1733955364153,-93.1733205364153,-93.1733205364153,-93.1733955364153,-93.1733955364153,NaN]","[44.9940723837460,44.9940723837460,44.9940653837460,44.9940653837460,44.9940723837460,NaN]",4,-93.17339804,44.99407782,44.99407782,44.99407082
5,"[-93.1734031533601,44.9940579130060;-93.1733281533601,44.9940649130060]","[-93.1734031533601,-93.1733281533601,-93.1733281533601,-93.1734031533601,-93.1734031533601,NaN]","[44.9940649130060,44.9940649130060,44.9940579130060,44.9940579130060,44.9940649130060,NaN]",5,-93.17339804,44.99407082,44.99407082,44.99406382
6,"[-93.1734030946367,44.9940508642919;-93.1733280946367,44.9940578642919]","[-93.1734030946367,-93.1733280946367,-93.1733280946367,-93.1734030946367,-93.1734030946367,NaN]","[44.9940578642919,44.9940578642919,44.9940508642919,44.9940508642919,44.9940578642919,NaN]",6,-93.17339804,44.99406382,44.99406382,44.99405682
7,"[-93.1733962164273,44.9940440372108;-93.1733212164273,44.9940510372108]","[-93.1733962164273,-93.1733212164273,-93.1733212164273,-93.1733962164273,-93.1733962164273,NaN]","[44.9940510372108,44.9940510372108,44.9940440372108,44.9940440372108,44.9940510372108,NaN]",7,-93.17339804,44.99405682,44.99405682,44.99404982
8,"[-93.1733962164273,44.9940369991226;-93.1733212164273,44.9940439991226]","[-93.1733962164273,-93.1733212164273,-93.1733212164273,-93.1733962164273,-93.1733962164273,NaN]","[44.9940439991226,44.9940439991226,44.9940369991226,44.9940369991226,44.9940439991226,NaN]",8,-93.17339804,44.99404982,44.99404982,44.99404282
9,"[-93.1734010813723,44.9940294321859;-93.1733260813723,44.9940364321859]","[-93.1734010813723,-93.1733260813723,-93.1733260813723,-93.1734010813723,-93.1734010813723,NaN]","[44.9940364321859,44.9940364321859,44.9940294321859,44.9940294321859,44.9940364321859,NaN]",9,-93.17339804,44.99404282,44.99404282,44.99403582
10,"[-93.1734010813723,44.9940225938581;-93.1733260813723,44.9940295938581]","[-93.1734010813723,-93.1733260813723,-93.1733260813723,-93.1734010813723,-93.1734010813723,NaN]","[44.9940295938581,44.9940295938581,44.9940225938581,44.9940225938581,44.9940295938581,NaN]",10,-93.17339804,44.99403582,44.99403582,44.99402882
11,"[-93.1733955188242,44.9940157827960;-93.1733205188242,44.9940227827960]","[-93.1733955188242,-93.1733205188242,-93.1733205188242,-93.1733955188242,-93.1733955188242,NaN]","[44.9940227827960,44.9940227827960,44.9940157827960,44.9940157827960,44.9940227827960,NaN]",11,-93.17339804,44.99402882,44.99402882,44.99402182
12,"[-93.1733954640330,44.9940088039568;-93.1733204640330,44.9940158039568]","[-93.1733954640330,-93.1733204640330,-93.1733204640330,-93.1733954640330,-93.1733954640330,NaN]","[44.9940158039568,44.9940158039568,44.9940088039568,44.9940088039568,44.9940158039568,NaN]",12,-93.17339804,44.99402182,44.99402182,44.99401482
13,"[-93.1734020419568,44.9940018402732;-93.1733270419568,44.9940088402732]","[-93.1734020419568,-93.1733270419568,-93.1733270419568,-93.1734020419568,-93.1734020419568,NaN]","[44.9940088402732,44.9940088402732,44.9940018402732,44.9940018402732,44.9940088402732,NaN]",13,-93.17339804,44.99401482,44.99401482,44.99400782
14,"[-93.1734008008045,44.9939949928901;-93.1733258008045,44.9940019928901]","[-93.1734008008045,-93.1733258008045,-93.1733258008045,-93.1734008008045,-93.1734008008045,NaN]","[44.9940019928901,44.9940019928901,44.9939949928901,44.9939949928901,44.9940019928901,NaN]",14,-93.17339804,44.99400782,44.99400782,44.99400082
15,"[-93.1733953318180,44.9939880891674;-93.1733203318180,44.9939950891674]","[-93.1733953318180,-93.1733203318180,-93.1733203318180,-93.1733953318180,-93.1733953318180,NaN]","[44.9939950891674,44.9939950891674,44.9939880891674,44.9939880891674,44.9939950891674,NaN]",15,-93.17339804,44.99400082,44.99400082,44.99399382
16,"[-93.1733952453260,44.9939811699153;-93.1733202453260,44.9939881699153]","[-93.1733952453260,-93.1733202453260,-93.1733202453260,-93.1733952453260,-93.1733952453260,NaN]","[44.9939881699153,44.9939881699153,44.9939811699153,44.9939811699153,44.9939881699153,NaN]",16,-93.17339804,44.99399382,44.99399382,44.99398682
17,"[-93.1734011205321,44.9939740773496;-93.1733261205321,44.9939810773495]","[-93.1734011205321,-93.1733261205321,-93.1733261205321,-93.1734011205321,-93.1734011205321,NaN]","[44.9939810773495,44.9939810773495,44.9939740773496,44.9939740773496,44.9939810773495,NaN]",17,-93.17339804,44.99398682,44.99398682,44.99397982
18,"[-93.1734009506634,44.9939670044245;-93.1733259506634,44.9939740044245]","[-93.1734009506634,-93.1733259506634,-93.1733259506634,-93.1734009506634,-93.1734009506634,NaN]","[44.9939740044245,44.9939740044245,44.9939670044245,44.9939670044245,44.9939740044245,NaN]",18,-93.17339804,44.99397982,44.99397982,44.99397282
19,"[-93.1733929571419,44.9939601702891;-93.1733179571419,44.9939671702891]","[-93.1733929571419,-93.1733179571419,-93.1733179571419,-93.1733929571419,-93.1733929571419,NaN]","[44.9939671702891,44.9939671702891,44.9939601702891,44.9939601702891,44.9939671702891,NaN]",19,-93.17339804,44.99397282,44.99397282,44.99396582
20,"[-93.1733929540917,44.9939533350115;-93.1733179540917,44.9939603350115]","[-93.1733929540917,-93.1733179540917,-93.1733179540917,-93.1733929540917,-93.1733929540917,NaN]","[44.9939603350115,44.9939603350115,44.9939533350115,44.9939533350115,44.9939603350115,NaN]",20,-93.17339804,44.99396582,44.99396582,44.99395882
21,"[-93.1734020163882,44.9939459393131;-93.1733270163882,44.9939529393131]","[-93.1734020163882,-93.1733270163882,-93.1733270163882,-93.1734020163882,-93.1734020163882,NaN]","[44.9939529393131,44.9939529393131,44.9939459393131,44.9939459393131,44.9939529393131,NaN]",21,-93.17339804,44.99395882,44.99395882,44.99395182
22,"[-93.1734020278272,44.9939389885158;-93.1733270278272,44.9939459885158]","[-93.1734020278272,-93.1733270278272,-93.1733270278272,-93.1734020278272,-93.1734020278272,NaN]","[44.9939459885158,44.9939459885158,44.9939389885158,44.9939389885158,44.9939459885158,NaN]",22,-93.17339804,44.99395182,44.99395182,44.99394482
23,"[-93.1733945397301,44.9939319900409;-93.1733195397301,44.9939389900409]","[-93.1733945397301,-93.1733195397301,-93.1733195397301,-93.1733945397301,-93.1733945397301,NaN]","[44.9939389900409,44.9939389900409,44.9939319900409,44.9939319900409,44.9939389900409,NaN]",23,-93.17339804,44.99394482,44.99394482,44.99393782
24,"[-93.1733946826253,44.9939250960399;-93.1733196826253,44.9939320960399]","[-93.1733946826253,-93.1733196826253,-93.1733196826253,-93.1733946826253,-93.1733946826253,NaN]","[44.9939320960399,44.9939320960399,44.9939250960399,44.9939250960399,44.9939320960399,NaN]",24,-93.17339804,44.99393782,44.99393782,44.99393082
25,"[-93.1734004695163,44.9939179254902;-93.1733254695163,44.9939249254902]","[-93.1734004695163,-93.1733254695163,-93.1733254695163,-93.1734004695163,-93.1734004695163,NaN]","[44.9939249254902,44.9939249254902,44.9939179254902,44.9939179254902,44.9939249254902,NaN]",25,-93.17339804,44.99393082,44.99393082,44.99392382
26,"[-93.1734003078441,44.9939110377819;-93.1733253078441,44.9939180377819]","[-93.1734003078441,-93.1733253078441,-93.1733253078441,-93.1734003078441,-93.1734003078441,NaN]","[44.9939180377819,44.9939180377819,44.9939110377819,44.9939110377819,44.9939180377819,NaN]",26,-93.17339804,44.99392382,44.99392382,44.99391682
27,"[-93.1733942617910,44.9939039536101;-93.1733192617910,44.9939109536101]","[-93.1733942617910,-93.1733192617910,-93.1733192617910,-93.1733942617910,-93.1733942617910,NaN]","[44.9939109536101,44.9939109536101,44.9939039536101,44.9939039536101,44.9939109536101,NaN]",27,-93.17339804,44.99391682,44.99391682,44.99390982
28,"[-93.1733941776192,44.9938968776348;-93.1733191776192,44.9939038776348]","[-93.1733941776192,-93.1733191776192,-93.1733191776192,-93.1733941776192,-93.1733941776192,NaN]","[44.9939038776348,44.9939038776348,44.9938968776348,44.9938968776348,44.9939038776348,NaN]",28,-93.17339804,44.99390982,44.99390982,44.99390282
29,"[-93.1733976977763,44.9938898709633;-93.1733226977763,44.9938968709633]","[-93.1733976977763,-93.1733226977763,-93.1733226977763,-93.1733976977763,-93.1733976977763,NaN]","[44.9938968709633,44.9938968709633,44.9938898709633,44.9938898709633,44.9938968709633,NaN]",29,-93.17339804,44.99390282,44.99390282,44.99389582
30,"[-93.1733977059729,44.9938827919379;-93.1733227059729,44.9938897919379]","[-93.1733977059729,-93.1733227059729,-93.1733227059729,-93.1733977059729,-93.1733977059729,NaN]","[44.9938897919379,44.9938897919379,44.9938827919379,44.9938827919379,44.9938897919379,NaN]",30,-93.17339804,44.99389582,44.99389582,44.99388882
31,"[-93.1733938695507,44.9938754634471;-93.1733188695507,44.9938824634471]","[-93.1733938695507,-93.1733188695507,-93.1733188695507,-93.1733938695507,-93.1733938695507,NaN]","[44.9938824634471,44.9938824634471,44.9938754634471,44.9938754634471,44.9938824634471,NaN]",31,-93.17339804,44.99388882,44.99388882,44.99388182
32,"[-93.1733939857496,44.9938687123414;-93.1733189857496,44.9938757123414]","[-93.1733939857496,-93.1733189857496,-93.1733189857496,-93.1733939857496,-93.1733939857496,NaN]","[44.9938757123414,44.9938757123414,44.9938687123414,44.9938687123414,44.9938757123414,NaN]",32,-93.17339804,44.99388182,44.99388182,44.99387482
33,"[-93.1734017019376,44.9938612410229;-93.1733267019376,44.9938682410229]","[-93.1734017019376,-93.1733267019376,-93.1733267019376,-93.1734017019376,-93.1734017019376,NaN]","[44.9938682410229,44.9938682410229,44.9938612410229,44.9938612410229,44.9938682410229,NaN]",33,-93.17339804,44.99387482,44.99387482,44.99386782
34,"[-93.1734016118604,44.9938541795370;-93.1733266118604,44.9938611795370]","[-93.1734016118604,-93.1733266118604,-93.1733266118604,-93.1734016118604,-93.1734016118604,NaN]","[44.9938611795370,44.9938611795370,44.9938541795370,44.9938541795370,44.9938611795370,NaN]",34,-93.17339804,44.99386782,44.99386782,44.99386082
35,"[-93.1733936372025,44.9938477522791;-93.1733186372025,44.9938547522791]","[-93.1733936372025,-93.1733186372025,-93.1733186372025,-93.1733936372025,-93.1733936372025,NaN]","[44.9938547522791,44.9938547522791,44.9938477522791,44.9938477522791,44.9938547522791,NaN]",35,-93.17339804,44.99386082,44.99386082,44.99385382
36,"[-93.1733933695314,44.9938407416987;-93.1733183695314,44.9938477416987]","[-93.1733933695314,-93.1733183695314,-93.1733183695314,-93.1733933695314,-93.1733933695314,NaN]","[44.9938477416987,44.9938477416987,44.9938407416987,44.9938407416987,44.9938477416987,NaN]",36,-93.17339804,44.99385382,44.99385382,44.99384682
37,"[-93.1734000223190,44.9938338381770;-93.1733250223190,44.9938408381770]","[-93.1734000223190,-93.1733250223190,-93.1733250223190,-93.1734000223190,-93.1734000223190,NaN]","[44.9938408381770,44.9938408381770,44.9938338381770,44.9938338381770,44.9938408381770,NaN]",37,-93.17339804,44.99384682,44.99384682,44.99383982
38,"[-93.1734001401814,44.9938268366519;-93.1733251401814,44.9938338366519]","[-93.1734001401814,-93.1733251401814,-93.1733251401814,-93.1734001401814,-93.1734001401814,NaN]","[44.9938338366519,44.9938338366519,44.9938268366519,44.9938268366519,44.9938338366519,NaN]",38,-93.17339804,44.99383982,44.99383982,44.99383282
39,"[-93.1733928163179,44.9938199748765;-93.1733178163179,44.9938269748765]","[-93.1733928163179,-93.1733178163179,-93.1733178163179,-93.1733928163179,-93.1733928163179,NaN]","[44.9938269748765,44.9938269748765,44.9938199748765,44.9938199748765,44.9938269748765,NaN]",39,-93.17339804,44.99383282,44.99383282,44.99382582
40,"[-93.1733928150600,44.9938134667936;-93.1733178150600,44.9938204667936]","[-93.1733928150600,-93.1733178150600,-93.1733178150600,-93.1733928150600,-93.1733928150600,NaN]","[44.9938204667936,44.9938204667936,44.9938134667936,44.9938134667936,44.9938204667936,NaN]",40,-93.17339804,44.99382582,44.99382582,44.99381882
41,"[-93.1734042572803,44.9938065810567;-93.1733292572803,44.9938135810567]","[-93.1734042572803,-93.1733292572803,-93.1733292572803,-93.1734042572803,-93.1734042572803,NaN]","[44.9938135810567,44.9938135810567,44.9938065810567,44.9938065810567,44.9938135810567,NaN]",41,-93.17339804,44.99381882,44.99381882,44.99381182
