"","Plot","Height1","Height2"
"1","ST19:1101",97,103
"2","ST19:1102",104,97
"3","ST19:1103",107,109.5
"4","ST19:1104",107.75,108
"5","ST19:1105",99.5,102.75
"6","ST19:1106",106,106.5
"7","ST19:1107",95.5,104.5
"8","ST19:1108",109.5,107
"9","ST19:1109",104.25,103.5
"10","ST19:1110",102.75,105.5
"11","ST19:1111",98.5,92
"12","ST19:1112",96,97.5
"13","ST19:1113",89.5,87.5
"14","ST19:1114",93.25,101.25
"15","ST19:1115",109,117
"16","ST19:1116",119.75,115
"17","ST19:1117",98.5,96.25
"18","ST19:1118",109,107.5
"19","ST19:1119",114,110
"20","ST19:1120",102,109.5
"21","ST19:1121",109,111.5
"22","ST19:1122",99.5,101.5
"23","ST19:1123",101,109.5
"24","ST19:1124",100,100.5
"25","ST19:1125",96.5,114.5
"26","ST19:1126",100,101.5
"27","ST19:1127",99,99
"28","ST19:1128",114.5,113.5
"29","ST19:1129",109.75,104.5
"30","ST19:1130",95.5,99.5
"31","ST19:1131",106,110.25
"32","ST19:1132",114.5,123
"33","ST19:1133",103.5,105
"34","ST19:1134",107,105
"35","ST19:1135",105,98.5
"36","ST19:1136",92.5,100
"37","ST19:1201",NA,NA
"38","ST19:1202",NA,NA
"39","ST19:1203",NA,NA
"40","ST19:1204",NA,NA
"41","ST19:1205",NA,NA
"42","ST19:1206",NA,NA
"43","ST19:1207",NA,NA
"44","ST19:1208",NA,NA
"45","ST19:1209",NA,NA
"46","ST19:1210",NA,NA
"47","ST19:1211",NA,NA
"48","ST19:1212",NA,NA
"49","ST19:1213",NA,NA
"50","ST19:1214",NA,NA
"51","ST19:1215",NA,NA
"52","ST19:1216",NA,NA
"53","ST19:1217",NA,NA
"54","ST19:1218",NA,NA
"55","ST19:1219",NA,NA
"56","ST19:1220",NA,NA
"57","ST19:1221",NA,NA
"58","ST19:1222",NA,NA
"59","ST19:1223",NA,NA
"60","ST19:1224",NA,NA
"61","ST19:1225",NA,NA
"62","ST19:1226",NA,NA
"63","ST19:1227",NA,NA
"64","ST19:1228",NA,NA
"65","ST19:1229",NA,NA
"66","ST19:1230",NA,NA
"67","ST19:1231",NA,NA
"68","ST19:1232",NA,NA
"69","ST19:1233",NA,NA
"70","ST19:1234",NA,NA
"71","ST19:1235",NA,NA
"72","ST19:1236",NA,NA
"73","ST19:2101",59,64.5
"74","ST19:2102",62.25,58
"75","ST19:2103",68.5,68.75
"76","ST19:2104",69.5,65
"77","ST19:2105",67.5,64.75
"78","ST19:2106",71,72
"79","ST19:2107",53.5,59
"80","ST19:2108",75.5,65.25
"81","ST19:2109",66,68
"82","ST19:2110",64.25,63.5
"83","ST19:2111",64,65.75
"84","ST19:2112",66.5,58.5
"85","ST19:2113",53.5,56.5
"86","ST19:2114",63.5,69.5
"87","ST19:2115",68.5,67.5
"88","ST19:2116",71,69
"89","ST19:2117",60,67.5
"90","ST19:2118",70,67
"91","ST19:2119",66,72.5
"92","ST19:2120",59.5,71
"93","ST19:2121",69,60
"94","ST19:2122",72,74
"95","ST19:2123",67,65
"96","ST19:2124",58.5,61
"97","ST19:2125",57,66
"98","ST19:2126",60.5,67
"99","ST19:2127",66,64.5
"100","ST19:2128",76,75.5
"101","ST19:2129",72,76
"102","ST19:2130",71.5,64.5
"103","ST19:2131",65.5,70.5
"104","ST19:2132",74,65
"105","ST19:2133",67,68
"106","ST19:2134",63,55.5
"107","ST19:2135",62.25,62
"108","ST19:2136",57.5,65.5
"109","ST19:2201",NA,NA
"110","ST19:2202",NA,NA
"111","ST19:2203",NA,NA
"112","ST19:2204",NA,NA
"113","ST19:2205",NA,NA
"114","ST19:2206",NA,NA
"115","ST19:2207",NA,NA
"116","ST19:2208",NA,NA
"117","ST19:2209",NA,NA
"118","ST19:2210",NA,NA
"119","ST19:2211",NA,NA
"120","ST19:2212",NA,NA
"121","ST19:2213",NA,NA
"122","ST19:2214",NA,NA
"123","ST19:2215",NA,NA
"124","ST19:2216",NA,NA
"125","ST19:2217",NA,NA
"126","ST19:2218",NA,NA
"127","ST19:2219",NA,NA
"128","ST19:2220",NA,NA
"129","ST19:2221",NA,NA
"130","ST19:2222",NA,NA
"131","ST19:2223",NA,NA
"132","ST19:2224",NA,NA
"133","ST19:2225",NA,NA
"134","ST19:2226",NA,NA
"135","ST19:2227",NA,NA
"136","ST19:2228",NA,NA
"137","ST19:2229",NA,NA
"138","ST19:2230",NA,NA
"139","ST19:2231",NA,NA
"140","ST19:2232",NA,NA
"141","ST19:2233",NA,NA
"142","ST19:2234",NA,NA
"143","ST19:2235",NA,NA
"144","ST19:2236",NA,NA
"145","ST19:3101",58,70.75
"146","ST19:3102",49,39.5
"147","ST19:3103",53,39.5
"148","ST19:3104",51.5,39.5
"149","ST19:3105",47,40
"150","ST19:3106",66,69
"151","ST19:3107",65,63.5
"152","ST19:3108",46,48
"153","ST19:3109",51.5,42
"154","ST19:3110",43,40.5
"155","ST19:3111",45.5,50
"156","ST19:3112",59,74.5
"157","ST19:3113",66.5,64
"158","ST19:3114",75.5,61
"159","ST19:3115",40.5,40
"160","ST19:3116",38,51
"161","ST19:3117",49,42.5
"162","ST19:3118",41.5,40
"163","ST19:3119",67.5,66
"164","ST19:3120",66,68.5
"165","ST19:3121",41,50.5
"166","ST19:3122",67,66
"167","ST19:3123",47,41.5
"168","ST19:3124",40,50
"169","ST19:3125",42.5,42.5
"170","ST19:3126",44.5,41.5
"171","ST19:3127",65.5,59.5
"172","ST19:3128",67,69.5
"173","ST19:3129",67,58.5
"174","ST19:3130",70,69.5
"175","ST19:3131",69,63.5
"176","ST19:3132",39.5,43
"177","ST19:3133",67.5,69
"178","ST19:3134",55,54.5
"179","ST19:3135",69.5,65
"180","ST19:3136",43,45.5
"181","ST19:3137",53,38
"182","ST19:3138",68,74.5
"183","ST19:3139",65.5,71
"184","ST19:3140",55,48.5
"185","ST19:3141",69,66
"186","ST19:3142",65,57.5
"187","ST19:3143",83,70
"188","ST19:3144",70,70.5
"189","ST19:3145",47.5,47.5
"190","ST19:3146",63,60.5
"191","ST19:3147",38.5,37
"192","ST19:3148",66.5,59
"193","ST19:3201",43.5,53
"194","ST19:3202",52.25,65
"195","ST19:3203",52.5,46
"196","ST19:3204",58.5,54.5
"197","ST19:3205",48,39
"198","ST19:3206",65.5,66.5
"199","ST19:3207",52,46.5
"200","ST19:3208",46.5,48.5
"201","ST19:3209",45,47
"202","ST19:3210",57,49
"203","ST19:3211",66,68
"204","ST19:3212",44,51
"205","ST19:3213",66.5,70.5
"206","ST19:3214",69.5,65
"207","ST19:3215",76.5,81.5
"208","ST19:3216",66.5,72.5
"209","ST19:3217",64,60
"210","ST19:3218",63,65
"211","ST19:3219",61.5,68.5
"212","ST19:3220",64.5,63.5
"213","ST19:3221",63,69.5
"214","ST19:3222",45.5,48.5
"215","ST19:3223",39,37.5
"216","ST19:3224",48,49
"217","ST19:3225",66.5,72
"218","ST19:3226",52.5,52
"219","ST19:3227",48,41.5
"220","ST19:3228",69,55.5
"221","ST19:3229",65.5,73
"222","ST19:3230",70.5,65
"223","ST19:3231",69,66
"224","ST19:3232",50,50
"225","ST19:3233",50.5,55
"226","ST19:3234",67,74.5
"227","ST19:3235",70,64
"228","ST19:3236",47.5,42
"229","ST19:3237",62.5,57
"230","ST19:3238",51.5,42
"231","ST19:3239",62,67.5
"232","ST19:3240",48.5,47.5
"233","ST19:3241",36.5,42.5
"234","ST19:3242",53,45
"235","ST19:3243",43,43.5
"236","ST19:3244",39,38.5
"237","ST19:3245",64.5,67
"238","ST19:3246",64.5,62.5
"239","ST19:3247",42,34.5
"240","ST19:3248",40,42.5
