"RainfallTotal","cum.rain","Date"
0.04,0,0
0,0,0
0.01,0,0
0.29,0,0
0.02,0,0
0.03,0,0
0.06,0,0
0.41,0,0
1.12,0,0
0.38,0,0
0.05,0,0
1.02,0,0
0.15,0,0
0.07,0,0
0.07,0,0
0.09,0,0
0.09,0,0
0.33,0,0
0,0.07,0
0.07,0.07,0
0.13,0.2,0
0,0.2,0
0.03,0.23,3.75
0.03,0.26,16
0,0.26,21.3
0.33,0.59,31.9
1.9,2.49,32.85
0,2.49,36.65
0,2.49,44.95
0,2.49,60.75
0,2.49,69.45
0.03,2.52,80.25
0.28,2.8,94.55
0.15,2.95,111.3
0.07,3.02,131.3
0.77,3.79,153.7
0.36,4.15,168.9
0,4.15,186.7
0,4.15,195.05
0,4.15,204.45
0,4.15,218.35
0.04,4.19,243.45
0.16,4.35,273.35
0,4.35,295.35
0,4.35,321.05
0.1,4.45,343.65
0,4.45,365.7
0,4.45,394.4
0,4.45,429.75
1.06,5.51,454.75
0.02,5.53,466.9
0,5.53,481.9
0,5.53,500.45
0,5.53,514.5
0,5.53,532.15
0,5.53,557.9
0,5.53,586.3
0,5.53,614.2
0.64,6.17,641.15
0.02,6.19,658.75
0.01,6.2,676.5
0.86,7.06,698.75
0.11,7.17,714.95
0.01,7.18,729.8
0,7.18,744.6
0,7.18,763.95
0.04,7.22,788.1
0,7.22,809.85
0.48,7.7,834.55
1.86,9.56,858.7
0,9.56,887.6
0,9.56,915.4
0,9.56,944.15
0,9.56,971.1
0,9.56,1000
0,9.56,1028.05
0,9.56,1054.1
0.01,9.57,1082.25
0,9.57,1112.7
0.06,9.63,1133.9
0.01,9.64,1155.95
0.57,10.21,1179.75
0,10.21,1198.95
0,10.21,1220.8
0.09,10.3,1238.1
0,10.3,1252.55
0,10.3,1269.7
0,10.3,1295.3
0.13,10.43,1324.25
0,10.43,1347.7
0,10.43,1367.9
0,10.43,1390.4
0,10.43,1405.15
0,10.43,1421.4
0,10.43,1449.65
0.09,10.52,1476.55
4.05,14.57,1501.15
0,14.57,1520.5
0,14.57,1542
0,14.57,1561.2
0,14.57,1579.9
0,14.57,1597.35
0,14.57,1616
0,14.57,1631
0,14.57,1641.5
0,14.57,1651.25
0,14.57,1663.85
0,14.57,1683.05
0.19,14.76,1706.45
0.59,15.35,1732.35
0.05,15.4,1757.95
0.52,15.92,1773.9
0,15.92,1789.8
0.71,16.63,1808.25
0,16.63,1834.65
1.08,17.71,1859.45
0,17.71,1875.15
0,17.71,1895.45
0,17.71,1912.2
0,17.71,1926.35
0,17.71,1943.75
0,17.71,1965.2
0,17.71,1990.5
1.03,18.74,2013.7
0,18.74,2040.3
0,18.74,2068.15
0,18.74,2095.65
0,18.74,2125.5
0,18.74,2152.7
0.82,19.56,2175.45
0,19.56,2189.8
0.01,19.57,2203.3
1.5,21.07,2214.2
0,21.07,2224.15
0,21.07,2238.85
0,21.07,2247.8
0,21.07,2258.8
0.05,21.12,2271.5
0.95,22.07,2292.65
0.01,22.08,2298.6
0.07,22.15,2298.6
0.39,22.54,2298.6
0,22.54,2298.6
0.12,22.66,2300.6
0.08,22.74,2308.5
0.01,22.75,2318.85
0,22.75,2334.9
0,22.75,2354.55
0,22.75,2364.15
0,22.75,2365.4
0,22.75,2367.75
0,22.75,2374.7
0,22.75,2387.2
0,22.75,2404.15
0,22.75,2424.1
0,22.75,2443.75
0.21,22.96,2460.45
0,22.96,2482.55
0,22.96,2499.25
0.03,22.99,2506.75
0.23,23.22,2508.3
0,23.22,2512.9
0,23.22,2517.8
0.04,23.26,2517.8
0,23.26,2517.8
0,23.26,2524.2
0,23.26,2535.05
0,23.26,2542.1
0,23.26,2546.3
0,23.26,2563.35
0,23.26,2571.4
0.07,23.33,2583.9
0.99,24.32,2589.15
0,24.32,2589.8
0.01,24.33,2589.8
0.09,24.42,2589.8
0,24.42,2589.8
0.01,24.43,2589.8
0.41,24.84,2589.8
0.24,25.08,2589.8
0.03,25.11,2589.8
0,25.11,2589.8
0.01,25.12,2589.8
0,25.12,2589.8
0.01,25.13,2589.8
0,25.13,2589.8
0,25.13,2593.15
0,25.13,2598
0,25.13,2599.55
0,25.13,2608.45
0,25.13,2623
0,25.13,2634.55
0.29,25.42,2634.55
0,25.42,2634.55
0.38,25.8,2634.55
0,25.8,2634.55
0.02,25.82,2634.55
0.05,25.87,2634.55
0.01,25.88,2634.55
0,25.88,2634.55
0.01,25.89,2634.55
0,25.89,2634.55
0.12,26.01,2634.55
0,26.01,2634.55
0.03,26.04,2634.55
0,26.04,2634.55
