Date,Max Deg F,Min Deg F
1/1/2021,21,12
1/2/2021,23,9
1/3/2021,25,10
1/4/2021,33,13
1/5/2021,37,14
1/6/2021,36,14
1/7/2021,31,19
1/8/2021,23,16
1/9/2021,20,12
1/10/2021,23,11
1/11/2021,28,21
1/12/2021,34,18
1/13/2021,36,18
1/14/2021,39,24
1/15/2021,33,30
1/16/2021,34,28
1/17/2021,28,18
1/18/2021,21,17
1/19/2021,20,14
1/20/2021,14,1
1/21/2021,37,4
1/22/2021,32,-1
1/23/2021,14,-2
1/24/2021,19,13
1/25/2021,24,6
1/26/2021,19,7
1/27/2021,18,7
1/28/2021,12,6
1/29/2021,20,8
1/30/2021,24,16
1/31/2021,31,24
2/1/2021,32,25
2/2/2021,25,19
2/3/2021,22,16
2/4/2021,35,16
2/5/2021,27,3
2/6/2021,9,-6
2/7/2021,-2,-18
2/8/2021,-5,-18
2/9/2021,-2,-15
2/10/2021,7,-5
2/11/2021,6,-12
2/12/2021,-2,-15
2/13/2021,-6,-16
2/14/2021,-6,-21
2/15/2021,-6,-22
2/16/2021,-2,-20
2/17/2021,11,-17
2/18/2021,8,-3
2/19/2021,15,1
2/20/2021,17,-2
2/21/2021,21,-1
2/22/2021,26,20
2/23/2021,40,24
2/24/2021,38,30
2/25/2021,37,22
2/26/2021,36,23
2/27/2021,40,27
2/28/2021,47,28
3/1/2021,32,11
3/2/2021,24,11
3/3/2021,46,24
3/4/2021,45,27
3/5/2021,43,28
3/6/2021,45,23
3/7/2021,45,25
3/8/2021,59,33
3/9/2021,57,33
3/10/2021,60,42
3/11/2021,42,32
3/12/2021,45,26
3/13/2021,41,26
3/14/2021,56,30
3/15/2021,45,28
3/16/2021,31,27
3/17/2021,33,27
3/18/2021,41,30
3/19/2021,49,28
3/20/2021,51,29
3/21/2021,56,33
3/22/2021,62,35
3/23/2021,57,37
3/24/2021,57,38
3/25/2021,40,30
3/26/2021,49,26
3/27/2021,47,26
3/28/2021,45,30
3/29/2021,43,31
3/30/2021,72,30
3/31/2021,39,21
4/1/2021,33,17
4/2/2021,43,22
4/3/2021,59,34
4/4/2021,68,43
4/5/2021,78,46
4/6/2021,83,47
4/7/2021,68,47
4/8/2021,71,47
4/9/2021,65,43
4/10/2021,51,40
4/11/2021,46,40
4/12/2021,53,41
4/13/2021,45,31
4/14/2021,34,29
4/15/2021,46,30
4/16/2021,49,36
4/17/2021,58,34
4/18/2021,58,33
4/19/2021,62,31
4/20/2021,37,28
4/21/2021,39,27
4/22/2021,41,30
4/23/2021,63,41
4/24/2021,49,34
4/25/2021,47,29
4/26/2021,44,35
4/27/2021,50,38
4/28/2021,52,36
4/29/2021,60,40
4/30/2021,65,38
5/1/2021,59,40
5/2/2021,87,55
5/3/2021,64,46
5/4/2021,65,39
5/5/2021,57,35
5/6/2021,53,37
5/7/2021,60,36
5/8/2021,55,36
5/9/2021,56,36
5/10/2021,61,39
5/11/2021,53,33
5/12/2021,60,39
5/13/2021,68,44
5/14/2021,70,52
5/15/2021,65,50
5/16/2021,73,49
5/17/2021,72,47
5/18/2021,77,57
5/19/2021,73,60
5/20/2021,75,64
5/21/2021,73,62
5/22/2021,78,64
5/23/2021,82,67
5/24/2021,75,62
5/25/2021,85,62
5/26/2021,83,51
5/27/2021,63,44
5/28/2021,46,36
5/29/2021,59,37
5/30/2021,64,49
5/31/2021,60,52
6/1/2021,76,51
6/2/2021,78,57
6/3/2021,82,60
6/4/2021,88,70
6/5/2021,95,73
6/6/2021,97,74
6/7/2021,91,73
6/8/2021,93,72
6/9/2021,94,70
6/10/2021,93,74
6/11/2021,96,75
6/12/2021,88,64
6/13/2021,83,57
6/14/2021,93,58
6/15/2021,84,58
6/16/2021,80,58
6/17/2021,86,68
6/18/2021,86,61
6/19/2021,87,60
6/20/2021,77,62
6/21/2021,72,50
6/22/2021,65,46
6/23/2021,75,57
6/24/2021,85,60
6/25/2021,85,61
6/26/2021,84,65
6/27/2021,73,63
6/28/2021,81,60
6/29/2021,83,64
6/30/2021,81,62
7/1/2021,85,65
7/2/2021,87,56
7/3/2021,84,64
7/4/2021,86,69
7/5/2021,92,73
7/6/2021,94,71
7/7/2021,75,53
7/8/2021,64,51
7/9/2021,71,57
7/10/2021,78,60
7/11/2021,80,60
7/12/2021,84,57
7/13/2021,81,60
7/14/2021,87,65
7/15/2021,74,58
7/16/2021,81,58
7/17/2021,83,60
7/18/2021,85,61
7/19/2021,86,66
7/20/2021,87,65
7/21/2021,86,62
7/22/2021,82,64
7/23/2021,84,71
7/24/2021,93,71
7/25/2021,89,61
7/26/2021,90,67
7/27/2021,89,73
7/28/2021,91,72
7/29/2021,91,70
7/30/2021,81,61
7/31/2021,79,58
8/1/2021,86,60
8/2/2021,78,58
8/3/2021,82,60
8/4/2021,84,64
8/5/2021,83,66
8/6/2021,81,65
8/7/2021,85,65
8/8/2021,71,65
8/9/2021,79,68
8/10/2021,84,68
8/11/2021,85,68
8/12/2021,82,66
8/13/2021,79,56
8/14/2021,78,53
8/15/2021,85,63
8/16/2021,84,61
8/17/2021,83,64
8/18/2021,87,66
8/19/2021,89,68
8/20/2021,90,70
8/21/2021,89,64
8/22/2021,73,50
8/23/2021,78,58
8/24/2021,90,65
8/25/2021,82,63
8/26/2021,82,60
8/27/2021,71,60
8/28/2021,73,67
8/29/2021,83,64
8/30/2021,79,59
8/31/2021,82,59
9/1/2021,77,56
9/2/2021,77,59
9/3/2021,67,58
9/4/2021,62,58
9/5/2021,76,55
9/6/2021,75,51
9/7/2021,79,57
9/8/2021,77,58
9/9/2021,74,51
9/10/2021,74,55
9/11/2021,80,57
9/12/2021,77,54
9/13/2021,70,48
9/14/2021,75,53
9/15/2021,71,48
9/16/2021,77,52
9/17/2021,85,57
9/18/2021,70,45
9/19/2021,76,49
9/20/2021,88,66
9/21/2021,74,51
9/22/2021,65,43
9/23/2021,68,44
9/24/2021,72,47
9/25/2021,60,42
9/26/2021,67,43
9/27/2021,80,54
9/28/2021,75,53
9/29/2021,79,56
9/30/2021,84,60
10/1/2021,81,63
10/2/2021,78,64
10/3/2021,69,55
10/4/2021,69,49
10/5/2021,70,49
10/6/2021,74,51
10/7/2021,73,55
10/8/2021,70,60
10/9/2021,70,59
10/10/2021,76,59
10/11/2021,69,47
10/12/2021,68,48
10/13/2021,63,53
10/14/2021,62,46
10/15/2021,54,39
10/16/2021,53,38
10/17/2021,61,37
10/18/2021,67,38
10/19/2021,77,46
