Plot,Height1,Height2,Height3,Height4,Height5
MB21:1048,45,41,44,43,40
MB21:1043,54,61,56,55,53
MB21:1037,43,42,55,54,58
MB21:1031,48,46,49,51,52
MB21:1025,52,54,51,49,47
ERA21:2011,49,53,54,48,49
ERA21:2009,59,50,51,58,53
ERA21:2006,49,46,48,49,47
ERA21:2003,42,47,40,46,47
ERA21:1013,40,43,49,52,42
YC21:1097,28,31,32,35,37
YC21:1108,22,24,23,27,21
YC21:1120,26,25,35,27,27
YC21:1132,27,31,37,36,36
YC21:1144,27,21,23,20,25
YC21:2057,19,21,20,18,22
YC21:2068,35,37,37,36,36
YC21:2080,38,42,37,30,36
YC21:2092,38,39,38,32,31
YC21:2104,22,30,23,25,33
YC21:2440,31,30,33,29,34
YC21:2429,22,24,24,35,25
YC21:2417,14,16,18,17,22
YC21:2405,36,43,36,44,37
YC21:2393,28,34,32,32,30
